recipient_name,usd_disb,proj_n
"Bilateral, unspecified",6811.242487,7323
India,1651.83305,2310
"South of Sahara, regional",1158.469323,2150
Nigeria,1045.38535,887
Democratic Republic of the Congo,1033.500155,1287
Ethiopia,810.076069,1521
Indonesia,607.082667,1536
Tanzania,581.430432,1650
Mozambique,558.819718,1536
"Africa, regional",551.759582,728
Viet Nam,526.451781,1227
Uganda,521.246273,1462
Kenya,512.550679,1527
Colombia,511.26597100000004,1239
Brazil,498.15434899999997,1155
