,usd_disb,proj_n,bio_bin,bio_wtd,avg_project_size,bio_intensity
usd_disb,1.0,0.8549217757626013,0.8549217757626013,0.8504014805953067,0.25477387780074984,0.02480187327541137
proj_n,0.8549217757626013,1.0,1.0,0.9919402334288678,0.06513021553978378,0.04390136967966106
bio_bin,0.8549217757626013,1.0,1.0,0.9919402334288678,0.06513021553978378,0.04390136967966106
bio_wtd,0.8504014805953067,0.9919402334288678,0.9919402334288678,1.0,0.06475988324830156,0.10402512478573518
avg_project_size,0.25477387780074984,0.06513021553978378,0.06513021553978378,0.06475988324830156,1.0,1.6866499534913684e-06
bio_intensity,0.02480187327541137,0.04390136967966106,0.04390136967966106,0.10402512478573518,1.6866499534913684e-06,1.0
