year,tagged_year_n,base_year_n,coverage_share
2015,674,83543,0.008067701662616856
2016,836,94040,0.008889834113143343
2017,846,96659,0.008752418295244105
2018,921,112508,0.008186084545099016
2019,863,102156,0.008447864051059165
2020,935,104390,0.008956796628029505
2021,1188,163398,0.007270590827305108
2022,775,120508,0.0064311083081621135
2023,1424,167506,0.008501188017145654
