cluster,share_projects
0,0.2648772371857218
1,0.1039300565949593
2,0.037745927690175145
3,0.018881579451205038
4,0.01164734218124172
5,0.022200502385565604
6,0.010053455049511016
7,0.0045222359220996045
8,0.00833799214256722
9,0.036141510373189766
10,0.0179367346469899
11,0.05370585937799153
12,0.03626978717538311
13,0.057803058731629615
14,0.009500141678856154
15,0.0466879695505334
16,0.20793669635540715
17,0.01964071007911041
18,0.020135628786080245
19,0.012045574641782244
