recipient_name,n
"Bilateral, unspecified",110023
India,19132
Ethiopia,18281
"South of Sahara, regional",18066
Kenya,17802
Bangladesh,16914
Viet Nam,16522
Tanzania,15527
Colombia,15476
Uganda,15033
Indonesia,14522
Democratic Republic of the Congo,14223
Nigeria,14082
Senegal,13992
Mozambique,13532
Pakistan,13370
Guatemala,12525
Mali,12511
Ghana,12353
Peru,12346
