sdg_target,n_projects,project_share
SDG15.9,2872,0.002749093526612221
SDG15.1,2595,0.0024839476676736466
SDG15.7,1865,0.0017851878228174762
SDG15.4,328,0.00031396332755181353
SDG15.5,328,0.00031396332755181353
SDG15.2,323,0.0003091773012171822
SDG15.3,228,0.00021824280085918745
SDG15.8,191,0.0001828262059829158
