year,SDG15.1,SDG15.2,SDG15.3,SDG15.4,SDG15.5,SDG15.7,SDG15.8,SDG15.9
2015,108.376265,7.46001,8.87753,6.111357,0.912257,30.463003,7.081627,66.094955
2016,214.051728,4.2308330000000005,6.188534,22.656887,2.607619,76.359525,3.3261049999999996,196.816268
2017,231.128445,4.252807,8.582084,11.738052999999999,4.0178650000000005,73.011549,6.472219,287.989961
2018,241.788356,12.255334000000001,10.38936,18.326651000000002,4.155264,72.180794,0.382261,193.779414
2019,176.553284,8.01428,22.574732,21.418933,5.423723,73.607067,2.116622,161.977438
2020,217.014217,13.421555,7.218592,16.056484,7.557611,57.366701,10.557022,155.596435
2021,114.175419,5.432433,7.755058,5.575781,5.089334,63.244232,9.521242,198.964987
2022,97.29543,5.917521,5.037492,3.925699,3.956619,39.445579,3.539984,98.628011
2023,236.795454,21.521487,9.987501,5.792555,7.899908,56.98114,2.461162,460.02644
