donor_name,n
United States,457857
Canada,178275
Germany,156737
Japan,149792
EU Institutions,149326
International Development Association,131130
France,121396
Switzerland,105592
Spain,82158
United Kingdom,78978
UNICEF,70575
Australia,51699
Sweden,49270
Italy,49165
UNFPA,48695
World Health Organisation,48434
International Labour Organisation,46473
Korea,44244
Asian Development Bank,40058
Norway,36666
