donor_name,n
United States,374746
Japan,123315
International Development Association,82394
France,81362
EU Institutions,66151
Canada,55561
Germany,48746
Sweden,28360
Switzerland,24793
Korea,18833
United Kingdom,14606
Italy,13335
Austria,11570
Australia,11019
Asian Development Bank,10728
UNFPA,10495
Belgium,9288
Finland,6514
Norway,6314
Spain,6020
