recipient_name,usd_disb,proj_n,bio_wtd
Syrian Arab Republic,0.012337582132,6095,36.0
Tajikistan,0.0022060753650000003,5986,160.5
Tanzania,0.011998220173,15527,1098.0
Thailand,0.001030360449,6776,208.5
Timor-Leste,0.000721671734,3636,128.5
Togo,0.001479392157,4125,180.0
Tokelau,2.1702756e-05,46,5.5
Tonga,0.00029835461299999996,1478,28.0
Tunisia,0.003977054577,7546,164.5
Turkmenistan,0.000118664844,1215,14.0
Tuvalu,0.000124782538,609,23.0
Türkiye,0.010235667545,5345,86.5
Uganda,0.009758744069,15031,1042.5
Ukraine,0.024734884664,4378,82.0
Uruguay,6.2234458e-05,543,21.5
Uzbekistan,0.003369669453,5108,73.5
Vanuatu,0.00039016351,1800,65.5
Venezuela,0.000999139531,2094,50.0
Viet Nam,0.008849618664,16504,814.5
Wallis and Futuna,0.0006108792640000001,8215,89.5
West Bank and Gaza Strip,0.006570145259,8112,165.0
"Western Africa, regional",0.001337262811,3533,472.5
Yemen,0.0172575889,7025,105.5
Zambia,0.0057107757250000005,9431,603.0
Zimbabwe,0.0030881396599999997,6780,285.0
