activity_id,donor_name,recipient_name,text_preview
2012001956-6,Asian Development Bank,Pakistan,"Strengtheningregulations,Enforcement&Governanceofnonbankfinlmarke STRENGTHENINGREGULATIONS,ENFORCEMENT&GOVERNANCEOFNONBANKFINLMARKE Strengtheningregulations,Enforcement&Governanceofnonbankfinlmarke"
2014000059005,EU Institutions,"South of Sahara, regional",Law enforcement in Horn of Africa LAW ENFORCEMENT IN HORN OF AFRICA
2015004272,United States,"Bilateral, unspecified",International Narcotics & Law Enforcement: Demand Reduction INTERNATIONAL NARCOTICS & LAW ENFORCEMENT: DEMAND REDUCTION Department of States International Narcotics Control and Law Enforcement Program - International Narcotics & Law Enforcement
2015004274,United States,"Bilateral, unspecified",International Narcotics & Law Enforcement: International Organizations INTERNATIONAL NARCOTICS & LAW ENFORCEMENT: INTERNATIONAL ORGANIZATIONS Department of States International Narcotics Control and Law Enforcement Program - International Organizations
2015004275akn,United States,Haiti,International Narcotics & Law Enforcement: Other INTERNATIONAL NARCOTICS & LAW ENFORCEMENT: OTHER Department of States International Narcotics Control and Law Enforcement Program - Other
2015004275apc,United States,Malaysia,International Narcotics & Law Enforcement: Other INTERNATIONAL NARCOTICS & LAW ENFORCEMENT: OTHER Department of States International Narcotics Control and Law Enforcement Program - Other
2015004275bho,United States,Morocco,International Narcotics & Law Enforcement: Other INTERNATIONAL NARCOTICS & LAW ENFORCEMENT: OTHER Department of States International Narcotics Control and Law Enforcement Program - Other
2015004275bre,United States,Bosnia and Herzegovina,International Narcotics & Law Enforcement: Other INTERNATIONAL NARCOTICS & LAW ENFORCEMENT: OTHER Department of States International Narcotics Control and Law Enforcement Program - Other
2015004275cex,United States,Armenia,International Narcotics & Law Enforcement: Other INTERNATIONAL NARCOTICS & LAW ENFORCEMENT: OTHER Department of States International Narcotics Control and Law Enforcement Program - Other
2015004275cmg,United States,Dominican Republic,International Narcotics & Law Enforcement: Other INTERNATIONAL NARCOTICS & LAW ENFORCEMENT: OTHER Department of States International Narcotics Control and Law Enforcement Program - Other
2015004275dfg,United States,Philippines,International Narcotics & Law Enforcement: Other INTERNATIONAL NARCOTICS & LAW ENFORCEMENT: OTHER Department of States International Narcotics Control and Law Enforcement Program - Other
2015004275doz,United States,Uganda,International Narcotics & Law Enforcement: Other INTERNATIONAL NARCOTICS & LAW ENFORCEMENT: OTHER Department of States International Narcotics Control and Law Enforcement Program - Other
2015004275eci,United States,Jordan,International Narcotics & Law Enforcement: Other INTERNATIONAL NARCOTICS & LAW ENFORCEMENT: OTHER Department of States International Narcotics Control and Law Enforcement Program - Other
2015004275edr,United States,Sudan,International Narcotics & Law Enforcement: Other INTERNATIONAL NARCOTICS & LAW ENFORCEMENT: OTHER Department of States International Narcotics Control and Law Enforcement Program - Other
2015004275emz,United States,Azerbaijan,International Narcotics & Law Enforcement: Other INTERNATIONAL NARCOTICS & LAW ENFORCEMENT: OTHER Department of States International Narcotics Control and Law Enforcement Program - Other
2015004275eua,United States,Kenya,International Narcotics & Law Enforcement: Other INTERNATIONAL NARCOTICS & LAW ENFORCEMENT: OTHER Department of States International Narcotics Control and Law Enforcement Program - Other
2015004275fha,United States,Indonesia,International Narcotics & Law Enforcement: Other INTERNATIONAL NARCOTICS & LAW ENFORCEMENT: OTHER Department of States International Narcotics Control and Law Enforcement Program - Other
2015004275fhi,United States,Montenegro,International Narcotics & Law Enforcement: Other INTERNATIONAL NARCOTICS & LAW ENFORCEMENT: OTHER Department of States International Narcotics Control and Law Enforcement Program - Other
2015004275gak,United States,Kyrgyzstan,International Narcotics & Law Enforcement: Other INTERNATIONAL NARCOTICS & LAW ENFORCEMENT: OTHER Department of States International Narcotics Control and Law Enforcement Program - Other
2015004275ghs,United States,Nigeria,International Narcotics & Law Enforcement: Other INTERNATIONAL NARCOTICS & LAW ENFORCEMENT: OTHER Department of States International Narcotics Control and Law Enforcement Program - Other
2015004275gjt,United States,Bangladesh,International Narcotics & Law Enforcement: Other INTERNATIONAL NARCOTICS & LAW ENFORCEMENT: OTHER Department of States International Narcotics Control and Law Enforcement Program - Other
2015004275gnu,United States,China (People's Republic of),International Narcotics & Law Enforcement: Other INTERNATIONAL NARCOTICS & LAW ENFORCEMENT: OTHER Department of States International Narcotics Control and Law Enforcement Program - Other
2015004275hcd,United States,Georgia,International Narcotics & Law Enforcement: Other INTERNATIONAL NARCOTICS & LAW ENFORCEMENT: OTHER Department of States International Narcotics Control and Law Enforcement Program - Other
2015004275hfl,United States,Sri Lanka,International Narcotics & Law Enforcement: Other INTERNATIONAL NARCOTICS & LAW ENFORCEMENT: OTHER Department of States International Narcotics Control and Law Enforcement Program - Other
2015004275hwd,United States,Panama,International Narcotics & Law Enforcement: Other INTERNATIONAL NARCOTICS & LAW ENFORCEMENT: OTHER Department of States International Narcotics Control and Law Enforcement Program - Other
