activity_id,donor_name,recipient_name,text_preview
2015950001,Japan,Dominican Republic,TC AGGREGATED ACTIVITIES TC AGGREGATED ACTIVITIES TC AGGREGATED ACTIVITIES
2015950002,Japan,Mexico,TC AGGREGATED ACTIVITIES TC AGGREGATED ACTIVITIES TC AGGREGATED ACTIVITIES
2015950003,Japan,Mexico,TC AGGREGATED ACTIVITIES TC AGGREGATED ACTIVITIES TC AGGREGATED ACTIVITIES
2015950004,Japan,Argentina,TC AGGREGATED ACTIVITIES TC AGGREGATED ACTIVITIES TC AGGREGATED ACTIVITIES
2015950005,Japan,Bolivia,TC AGGREGATED ACTIVITIES TC AGGREGATED ACTIVITIES TC AGGREGATED ACTIVITIES
2015950006,Japan,Bolivia,TC AGGREGATED ACTIVITIES TC AGGREGATED ACTIVITIES TC AGGREGATED ACTIVITIES
2015950007,Japan,Brazil,TC AGGREGATED ACTIVITIES TC AGGREGATED ACTIVITIES TC AGGREGATED ACTIVITIES
2015950008,Japan,Brazil,TC AGGREGATED ACTIVITIES TC AGGREGATED ACTIVITIES TC AGGREGATED ACTIVITIES
2015950009,Japan,Colombia,TC AGGREGATED ACTIVITIES TC AGGREGATED ACTIVITIES TC AGGREGATED ACTIVITIES
2015950010,Japan,Colombia,TC AGGREGATED ACTIVITIES TC AGGREGATED ACTIVITIES TC AGGREGATED ACTIVITIES
2015950011,Japan,Paraguay,TC AGGREGATED ACTIVITIES TC AGGREGATED ACTIVITIES TC AGGREGATED ACTIVITIES
2015950012,Japan,Paraguay,TC AGGREGATED ACTIVITIES TC AGGREGATED ACTIVITIES TC AGGREGATED ACTIVITIES
2015950013,Japan,Peru,TC AGGREGATED ACTIVITIES TC AGGREGATED ACTIVITIES TC AGGREGATED ACTIVITIES
2015950014,Japan,Peru,TC AGGREGATED ACTIVITIES TC AGGREGATED ACTIVITIES TC AGGREGATED ACTIVITIES
2015950015,Japan,Uruguay,TC AGGREGATED ACTIVITIES TC AGGREGATED ACTIVITIES TC AGGREGATED ACTIVITIES
2015950016,Japan,"America, regional",TC AGGREGATED ACTIVITIES TC AGGREGATED ACTIVITIES TC AGGREGATED ACTIVITIES
2015950017,Japan,Malaysia,TC AGGREGATED ACTIVITIES TC AGGREGATED ACTIVITIES TC AGGREGATED ACTIVITIES
2015950018,Japan,"America, regional",TC AGGREGATED ACTIVITIES TC AGGREGATED ACTIVITIES TC AGGREGATED ACTIVITIES
2015950019,Japan,Iran,TC AGGREGATED ACTIVITIES TC AGGREGATED ACTIVITIES TC AGGREGATED ACTIVITIES
2015950020,Japan,Ethiopia,TC AGGREGATED ACTIVITIES TC AGGREGATED ACTIVITIES TC AGGREGATED ACTIVITIES
2015950021,Japan,Tanzania,TC AGGREGATED ACTIVITIES TC AGGREGATED ACTIVITIES TC AGGREGATED ACTIVITIES
2015950022,Japan,Sri Lanka,TC AGGREGATED ACTIVITIES TC AGGREGATED ACTIVITIES TC AGGREGATED ACTIVITIES
2015950023,Japan,"Bilateral, unspecified",TC AGGREGATED ACTIVITIES TC AGGREGATED ACTIVITIES TC AGGREGATED ACTIVITIES
2015950024,Japan,Cambodia,TC AGGREGATED ACTIVITIES TC AGGREGATED ACTIVITIES TC AGGREGATED ACTIVITIES
2015950025,Japan,Cuba,TC AGGREGATED ACTIVITIES TC AGGREGATED ACTIVITIES TC AGGREGATED ACTIVITIES
