activity_id,donor_name,recipient_name,text_preview
1983001857,Inter-American Development Bank,Paraguay,Emergency Program EMERGENCY PROGRAM Emergency Program
1990001236n,France,Algeria,ASSISTANCE TECHNIQUE ENOF ASSISTANCE TECHNIQUE ENOF ASSISTANCE TECHNIQUE ENOF
1994000963,Switzerland,"Bilateral, unspecified",Operating costs Humanitarian aid humanitarian operations
1994000964,Switzerland,"Bilateral, unspecified",Operating costs Humanitarian aid humanitarian operations
1997003882,International Development Association,Georgia,Structural Assistance Technical Assistance Credit 2 STRUCTURAL ASSISTANCE TECHNICAL ASSISTANCE CREDIT 2
1997003883,International Development Association,Georgia,Structural Assistance Technical Assistance Credit 2 STRUCTURAL ASSISTANCE TECHNICAL ASSISTANCE CREDIT 2
1997003884,International Development Association,Georgia,Structural Assistance Technical Assistance Credit 2 STRUCTURAL ASSISTANCE TECHNICAL ASSISTANCE CREDIT 2
1997003885,International Development Association,Georgia,Structural Assistance Technical Assistance Credit 2 STRUCTURAL ASSISTANCE TECHNICAL ASSISTANCE CREDIT 2
1997003886,International Development Association,Georgia,Structural Assistance Technical Assistance Credit 2 STRUCTURAL ASSISTANCE TECHNICAL ASSISTANCE CREDIT 2
1997004041,International Development Association,Albania,Recovery Program Technical Assistance RECOVERY PROGRAM TECHNICAL ASSISTANCE
1997004042,International Development Association,Albania,Recovery Program Technical Assistance RECOVERY PROGRAM TECHNICAL ASSISTANCE
1997004043,International Development Association,Albania,Recovery Program Technical Assistance RECOVERY PROGRAM TECHNICAL ASSISTANCE
1997004044,International Development Association,Albania,Recovery Program Technical Assistance RECOVERY PROGRAM TECHNICAL ASSISTANCE
1997004220,International Development Association,Georgia,Structural Assistance Technical Assistance Credit 2 STRUCTURAL ASSISTANCE TECHNICAL ASSISTANCE CREDIT 2
1997004221,International Development Association,Georgia,Structural Assistance Technical Assistance Credit 2 STRUCTURAL ASSISTANCE TECHNICAL ASSISTANCE CREDIT 2
1997004222,International Development Association,Georgia,Structural Assistance Technical Assistance Credit 2 STRUCTURAL ASSISTANCE TECHNICAL ASSISTANCE CREDIT 2
1997004223,International Development Association,Georgia,Structural Assistance Technical Assistance Credit 2 STRUCTURAL ASSISTANCE TECHNICAL ASSISTANCE CREDIT 2
1997004224,International Development Association,Georgia,Structural Assistance Technical Assistance Credit 2 STRUCTURAL ASSISTANCE TECHNICAL ASSISTANCE CREDIT 2
1997004231,International Development Association,Georgia,Structural Assistance Technical Assistance Credit 2 STRUCTURAL ASSISTANCE TECHNICAL ASSISTANCE CREDIT 2
1997004232,International Development Association,Georgia,Structural Assistance Technical Assistance Credit 2 STRUCTURAL ASSISTANCE TECHNICAL ASSISTANCE CREDIT 2
1997004233,International Development Association,Georgia,Structural Assistance Technical Assistance Credit 2 STRUCTURAL ASSISTANCE TECHNICAL ASSISTANCE CREDIT 2
1997004234,International Development Association,Georgia,Structural Assistance Technical Assistance Credit 2 STRUCTURAL ASSISTANCE TECHNICAL ASSISTANCE CREDIT 2
1997004235,International Development Association,Georgia,Structural Assistance Technical Assistance Credit 2 STRUCTURAL ASSISTANCE TECHNICAL ASSISTANCE CREDIT 2
1997004377,International Development Association,Georgia,Structural Assistance Technical Assistance Credit 2 STRUCTURAL ASSISTANCE TECHNICAL ASSISTANCE CREDIT 2
1997004378,International Development Association,Georgia,Structural Assistance Technical Assistance Credit 2 STRUCTURAL ASSISTANCE TECHNICAL ASSISTANCE CREDIT 2
