activity_id,donor_name,recipient_name,text_preview
2015018021,United States,"South of Sahara, regional",Bureau of African Affairs (AF) - Multi-sector - Unspecified BUREAU OF AFRICAN AFFAIRS (AF) - MULTI-SECTOR - UNSPECIFIED Basic Package Services (A) (Icass Std & Lite)
2015018022,United States,"South of Sahara, regional","Bureau of African Affairs (AF) - Multi-sector - Unspecified BUREAU OF AFRICAN AFFAIRS (AF) - MULTI-SECTOR - UNSPECIFIED General Services (A,B,C)"
2015018023,United States,"South of Sahara, regional",Bureau of African Affairs (AF) - Multi-sector - Unspecified BUREAU OF AFRICAN AFFAIRS (AF) - MULTI-SECTOR - UNSPECIFIED Unspecified Activities
2015018024,United States,"Bilateral, unspecified",Bureau of Energy Resources (ENR) - Multi-sector - Unspecified BUREAU OF ENERGY RESOURCES (ENR) - MULTI-SECTOR - UNSPECIFIED Internatl Energy & Res Policy
2015018025,United States,"Central Asia, regional","Bureau of European and Eurasian Affairs (EUR) - Multi-sector - Unspecified BUREAU OF EUROPEAN AND EURASIAN AFFAIRS (EUR) - MULTI-SECTOR - UNSPECIFIED General Services (A,B,C)"
2015018025rtu,United States,"Bilateral, unspecified","Bureau of European and Eurasian Affairs (EUR) - Multi-sector - Unspecified BUREAU OF EUROPEAN AND EURASIAN AFFAIRS (EUR) - MULTI-SECTOR - UNSPECIFIED General Services (A,B,C)"
2015018026,United States,"Bilateral, unspecified",Bureau of European and Eurasian Affairs (EUR) - Multi-sector - Unspecified BUREAU OF EUROPEAN AND EURASIAN AFFAIRS (EUR) - MULTI-SECTOR - UNSPECIFIED International Transp Affairs
2015018027,United States,"Central Asia, regional",Bureau of European and Eurasian Affairs (EUR) - Multi-sector - Unspecified BUREAU OF EUROPEAN AND EURASIAN AFFAIRS (EUR) - MULTI-SECTOR - UNSPECIFIED Other Services
2015018027dkh,United States,"Bilateral, unspecified",Bureau of European and Eurasian Affairs (EUR) - Multi-sector - Unspecified BUREAU OF EUROPEAN AND EURASIAN AFFAIRS (EUR) - MULTI-SECTOR - UNSPECIFIED Other Services
2015018027jku,United States,"Bilateral, unspecified",Bureau of European and Eurasian Affairs (EUR) - Multi-sector - Unspecified BUREAU OF EUROPEAN AND EURASIAN AFFAIRS (EUR) - MULTI-SECTOR - UNSPECIFIED Other Services
2015018028,United States,"Central Asia, regional",Bureau of European and Eurasian Affairs (EUR) - Multi-sector - Unspecified BUREAU OF EUROPEAN AND EURASIAN AFFAIRS (EUR) - MULTI-SECTOR - UNSPECIFIED Program Grants & Services
2015018028lsq,United States,"Bilateral, unspecified",Bureau of European and Eurasian Affairs (EUR) - Multi-sector - Unspecified BUREAU OF EUROPEAN AND EURASIAN AFFAIRS (EUR) - MULTI-SECTOR - UNSPECIFIED Program Grants & Services
2015018029,United States,"Bilateral, unspecified",Bureau of Intelligence and Research (INR) - Multi-sector - Unspecified BUREAU OF INTELLIGENCE AND RESEARCH (INR) - MULTI-SECTOR - UNSPECIFIED Intel Research And Analyst
2015018030,United States,Iraq,"Bureau of Near Eastern Affairs (NEA) - Multi-sector - Unspecified BUREAU OF NEAR EASTERN AFFAIRS (NEA) - MULTI-SECTOR - UNSPECIFIED General Services (A,B,C)"
2015018030obb,United States,"Bilateral, unspecified","Bureau of Near Eastern Affairs (NEA) - Multi-sector - Unspecified BUREAU OF NEAR EASTERN AFFAIRS (NEA) - MULTI-SECTOR - UNSPECIFIED General Services (A,B,C)"
