activity_id,donor_name,recipient_name,text_preview
2015018031,United States,"Bilateral, unspecified",Bureau of Near Eastern Affairs (NEA) - Multi-sector - Unspecified BUREAU OF NEAR EASTERN AFFAIRS (NEA) - MULTI-SECTOR - UNSPECIFIED Unspecified Activities
2015018032,United States,"Bilateral, unspecified",Bureau of Oceans and International Environmental and Scientific Affairs (OES) - Multi-sector - Unspecified BUREAU OF OCEANS AND INTERNATIONAL ENVIRONMENTAL AND SCIENTIFIC AFFAIRS (OES) - MULTI-SECTOR - UNSPECIFIED Unspecified Activities
2015018033,United States,"South & Central Asia, regional","Bureau of South and Central Asian Affairs (SCA) - Multi-sector - Unspecified BUREAU OF SOUTH AND CENTRAL ASIAN AFFAIRS (SCA) - MULTI-SECTOR - UNSPECIFIED General Services (A,B,C)"
2015018034,United States,"America, regional","Bureau of Western Hemisphere Affairs (WHA) - Multi-sector - Unspecified BUREAU OF WESTERN HEMISPHERE AFFAIRS (WHA) - MULTI-SECTOR - UNSPECIFIED General Services (A,B,C)"
2016028876,United States,"Bilateral, unspecified","U.S. Department of State, Bureau of African Affairs (AF) - Multi-sector - Unspecified: Basic Package Services (A) (Icass Std & Lite) U.S. DEPARTMENT OF STATE, BUREAU OF AFRICAN AFFAIRS (AF) - MULTI-SECTOR - UNSPECIFIED: BASIC PACKAGE SERVICES (A) (ICASS STD & "
2016028877,United States,"Bilateral, unspecified","U.S. Department of State, Bureau of African Affairs (AF) - Multi-sector - Unspecified: General Services (A,B,C) U.S. DEPARTMENT OF STATE, BUREAU OF AFRICAN AFFAIRS (AF) - MULTI-SECTOR - UNSPECIFIED: GENERAL SERVICES (A,B,C) U.S. Department of State, Bureau of "
2016028879,United States,"Bilateral, unspecified","U.S. Department of State, Bureau of Energy Resources (ENR) - Multi-sector - Unspecified: Internatl Energy & Res Policy U.S. DEPARTMENT OF STATE, BUREAU OF ENERGY RESOURCES (ENR) - MULTI-SECTOR - UNSPECIFIED: INTERNATL ENERGY & RES POLICY U.S. Department of Sta"
2016028885,United States,"Bilateral, unspecified","U.S. Department of State, Bureau of Near Eastern Affairs (NEA) - Multi-sector - Unspecified: General Services (A,B,C) U.S. DEPARTMENT OF STATE, BUREAU OF NEAR EASTERN AFFAIRS (NEA) - MULTI-SECTOR - UNSPECIFIED: GENERAL SERVICES (A,B,C) U.S. Department of State"
2016028886,United States,"Bilateral, unspecified","U.S. Department of State, Bureau of Near Eastern Affairs (NEA) - Multi-sector - Unspecified: General Services (A,B,C) U.S. DEPARTMENT OF STATE, BUREAU OF NEAR EASTERN AFFAIRS (NEA) - MULTI-SECTOR - UNSPECIFIED: GENERAL SERVICES (A,B,C) U.S. Department of State"
2016028887,United States,"Bilateral, unspecified","U.S. Department of State, Bureau of Near Eastern Affairs (NEA) - Multi-sector - Unspecified: Unspecified Activities U.S. DEPARTMENT OF STATE, BUREAU OF NEAR EASTERN AFFAIRS (NEA) - MULTI-SECTOR - UNSPECIFIED: UNSPECIFIED ACTIVITIES U.S. Department of State, Bu"
