activity_id,donor_name,recipient_name,text_preview
001871,International Development Association,Bangladesh,Water Supply and Sewerage - Dacca Project (02) WATER SUPPLY AND SEWERAGE - DACCA PROJECT (02)
1963001486,International Development Association,Bangladesh,Chittagong Water Supply Project CHITTAGONG WATER SUPPLY PROJECT
1963001487,International Development Association,Bangladesh,Dacca Water Supply and Sewerage Project DACCA WATER SUPPLY AND SEWERAGE PROJECT
1963001722,International Development Association,Bangladesh,Chittagong Water Supply Project CHITTAGONG WATER SUPPLY PROJECT
1963001723,International Development Association,Bangladesh,Dacca Water Supply and Sewerage Project DACCA WATER SUPPLY AND SEWERAGE PROJECT
1963001776,International Development Association,Bangladesh,Chittagong Water Supply Project CHITTAGONG WATER SUPPLY PROJECT
1963001777,International Development Association,Bangladesh,Dacca Water Supply and Sewerage Project DACCA WATER SUPPLY AND SEWERAGE PROJECT
1963001817,International Development Association,Bangladesh,Chittagong Water Supply Project CHITTAGONG WATER SUPPLY PROJECT
1963001818,International Development Association,Bangladesh,Dacca Water Supply and Sewerage Project DACCA WATER SUPPLY AND SEWERAGE PROJECT
1963001830,International Development Association,Bangladesh,Chittagong Water Supply Project CHITTAGONG WATER SUPPLY PROJECT Chittagong Water Supply Project
1963001831,International Development Association,Bangladesh,Dacca Water Supply and Sewerage Project DACCA WATER SUPPLY AND SEWERAGE PROJECT Dacca Water Supply and Sewerage Project
1970001274,International Development Association,Tunisia,Water Supply Project (02) WATER SUPPLY PROJECT (02)
1970001323,International Development Association,Tunisia,Water Supply Project (02) WATER SUPPLY PROJECT (02) Water Supply Project (02)
1971000047,International Development Association,Botswana,Gaborone - Losatse Water Supply Project GABORONE - LOSATSE WATER SUPPLY PROJECT
1971000048,International Development Association,Botswana,Gaborone - Losatse Water Supply Project GABORONE - LOSATSE WATER SUPPLY PROJECT Gaborone - Losatse Water Supply Project
1973000684,International Development Association,Myanmar,Inland Water Transport Project INLAND WATER TRANSPORT PROJECT Inland Water Transport Project
1973000695,International Development Association,Myanmar,Inland Water Transport Project INLAND WATER TRANSPORT PROJECT
1973000723,International Development Association,Myanmar,Inland Water Transport Project INLAND WATER TRANSPORT PROJECT
1973000782,International Development Association,Myanmar,Inland Water Transport Project INLAND WATER TRANSPORT PROJECT
1973000788,International Development Association,Myanmar,Inland Water Transport Project INLAND WATER TRANSPORT PROJECT
1973001040,International Development Association,Jordan,Water Supply Project WATER SUPPLY PROJECT
1973001232,International Development Association,Jordan,Water Supply Project WATER SUPPLY PROJECT
1973001295,International Development Association,Jordan,Water Supply Project WATER SUPPLY PROJECT Water Supply Project
1973001320,International Development Association,Jordan,Water Supply Project WATER SUPPLY PROJECT
1973001498,International Development Association,Bangladesh,Inland Water Transport Rehabilitation Project INLAND WATER TRANSPORT REHABILITATION PROJECT
